day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-04-03.12,1.0,u59,2013-04-03,2013-04-03,24.0,24.0,12.184722222222222,0.0
2013-04-03.13,4.0,u59,2013-04-03,2013-04-03,24.0,24.0,12.184722222222222,0.0
2013-04-04.12,5.0,u59,2013-04-04,2013-04-04,74.0,380.0,9.180555555555555,0.0
2013-04-04.13,1.0,u59,2013-04-04,2013-04-04,74.0,380.0,9.180555555555555,0.0
2013-04-04.14,4.0,u59,2013-04-04,2013-04-04,74.0,380.0,9.180555555555555,0.0
2013-04-05.9,1.0,u59,2013-04-05,2013-04-05,59.0,100.0,8.617222222222223,2.0
2013-04-05.10,2.0,u59,2013-04-05,2013-04-05,59.0,100.0,8.617222222222223,2.0
2013-04-05.11,3.0,u59,2013-04-05,2013-04-05,59.0,100.0,8.617222222222223,2.0
2013-04-05.12,4.0,u59,2013-04-05,2013-04-05,59.0,100.0,8.617222222222223,2.0
2013-04-08.10,1.0,u59,2013-04-08,2013-04-08,30.0,46.0,6.028611111111111,3.0
2013-04-08.11,3.0,u59,2013-04-08,2013-04-08,30.0,46.0,6.028611111111111,3.0
2013-04-07.6,1.0,u59,2013-04-07,2013-04-07,25.0,64.0,1.255,0.0
2013-04-07.7,5.0,u59,2013-04-07,2013-04-07,25.0,64.0,1.255,0.0
2013-04-07.8,4.0,u59,2013-04-07,2013-04-07,25.0,64.0,1.255,0.0
2013-04-11.5,5.0,u59,2013-04-11,2013-04-11,30.0,108.0,2.883611111111111,1.0
2013-04-11.6,4.0,u59,2013-04-11,2013-04-11,30.0,108.0,2.883611111111111,1.0
2013-04-11.7,1.0,u59,2013-04-11,2013-04-11,30.0,108.0,2.883611111111111,1.0
2013-04-09.7,5.0,u59,2013-04-09,2013-04-09,27.0,64.0,5.816111111111111,1.0
2013-04-09.8,1.0,u59,2013-04-09,2013-04-09,27.0,64.0,5.816111111111111,1.0
2013-04-10.5,5.0,u59,2013-04-10,2013-04-10,31.0,77.0,3.3694444444444445,1.0
2013-04-10.6,1.0,u59,2013-04-10,2013-04-10,31.0,77.0,3.3694444444444445,1.0
2013-04-12.7,1.0,u59,2013-04-12,2013-04-12,25.0,91.0,5.848888888888889,2.0
2013-04-12.8,4.0,u59,2013-04-12,2013-04-12,25.0,91.0,5.848888888888889,2.0
